Scoring Function,Distance Cutoff,Fold,RMSE,PEARSON
ELEMENTS-RF,8.0,9,1.3492394234051324,0.6233365349163517
ELEMENTS-RF,8.0,Test,1.4026580585725796,0.8066880921473389
ELEMENTS-RF,8.5,0,1.6373110394787975,0.5971105915074812
ELEMENTS-RF,8.5,1,1.390008822372404,0.6663542517220176
ELEMENTS-RF,8.5,2,1.473622887792028,0.6341931297467739
ELEMENTS-RF,8.5,3,1.4495230145344178,0.6341229136111539
ELEMENTS-RF,8.5,4,1.333486555622281,0.6440729042603496
ELEMENTS-RF,8.5,5,1.4911795635331526,0.6333363237390439
ELEMENTS-RF,8.5,6,1.3786268653073226,0.6617090755623596
ELEMENTS-RF,8.5,7,1.4666988016000602,0.6635361075007186
ELEMENTS-RF,8.5,8,1.3921852741376028,0.6549440725161342
ELEMENTS-RF,8.5,9,1.3555803975482266,0.6186983876802078
ELEMENTS-RF,8.5,Test,1.398669205337954,0.8052961529249315
ELEMENTS-RF,9.0,0,1.6304413428428466,0.6016055821724573
ELEMENTS-RF,9.0,1,1.404184256183019,0.6577465035437294
ELEMENTS-RF,9.0,2,1.471987281732983,0.6352379158504639
ELEMENTS-RF,9.0,3,1.4659253007457274,0.6233011594620409
ELEMENTS-RF,9.0,4,1.3368660916645991,0.6417632610074288
ELEMENTS-RF,9.0,5,1.4907421356642234,0.6336136090439235
ELEMENTS-RF,9.0,6,1.3633195295336091,0.6710237427138943
ELEMENTS-RF,9.0,7,1.473728393577805,0.6594710454547743
ELEMENTS-RF,9.0,8,1.3975010948315874,0.6515999637481591
ELEMENTS-RF,9.0,9,1.3559358734466251,0.6184366963904007
ELEMENTS-RF,9.0,Test,1.3896442965033222,0.8118375795311703
ELEMENTS-RF,9.5,0,1.6189508927849032,0.6090083134314802
ELEMENTS-RF,9.5,1,1.4095010767686706,0.6544659949668685
ELEMENTS-RF,9.5,2,1.4616947400865066,0.6417471870049065
ELEMENTS-RF,9.5,3,1.46671682027523,0.6227710724223918
ELEMENTS-RF,9.5,4,1.3362907027655446,0.6421574936058557
ELEMENTS-RF,9.5,5,1.469025404538449,0.6471303922934881
ELEMENTS-RF,9.5,6,1.3631645517754645,0.6711168591166176
ELEMENTS-RF,9.5,7,1.4575228745982698,0.6687762489309877
ELEMENTS-RF,9.5,8,1.3997638125271876,0.6501674152670871
ELEMENTS-RF,9.5,9,1.368679168164509,0.6089351402419445
ELEMENTS-RF,9.5,Test,1.3843961640614555,0.8151865372070619
ELEMENTS-RF,10.0,0,1.6281096401574946,0.603119381276113
ELEMENTS-RF,10.0,1,1.4082178468803246,0.6552603952168289
ELEMENTS-RF,10.0,2,1.469297072155942,0.6369501152620543
ELEMENTS-RF,10.0,3,1.464844201655692,0.6240239911569432
ELEMENTS-RF,10.0,4,1.3320715168879205,0.6450357834074186
ELEMENTS-RF,10.0,5,1.4542164021716113,0.6560770457667335
ELEMENTS-RF,10.0,6,1.3746416800143548,0.6641567259621849
ELEMENTS-RF,10.0,7,1.4665113592478611,0.663643895373062
ELEMENTS-RF,10.0,8,1.392374428690882,0.6548255892138993
ELEMENTS-RF,10.0,9,1.3707958134927831,0.607333850903408
ELEMENTS-RF,10.0,Test,1.371823059749965,0.8171853511696939
ELEMENTS-RF,10.5,0,1.6331675162510546,0.5998280795713873
ELEMENTS-RF,10.5,1,1.4050194645611491,0.6572330786960221
ELEMENTS-RF,10.5,2,1.4591695789813182,0.6433271784520875
ELEMENTS-RF,10.5,3,1.4657771071479937,0.6234003240360138
ELEMENTS-RF,10.5,4,1.3241237624800417,0.6503986112479617
ELEMENTS-RF,10.5,5,1.4525697910918731,0.6570587442193836
ELEMENTS-RF,10.5,6,1.3776693796570822,0.662298624037836
ELEMENTS-RF,10.5,7,1.4510927955738913,0.6724045569019033
ELEMENTS-RF,10.5,8,1.3914514082536926,0.6554033990321756
ELEMENTS-RF,10.5,9,1.3689992649178202,0.6086934089365638
ELEMENTS-RF,10.5,Test,1.3801842300611442,0.8172831842944629
ELEMENTS-RF,11.0,0,1.64245055414211,0.5937129666309272
ELEMENTS-RF,11.0,1,1.3979010519368034,0.6615864567624931
ELEMENTS-RF,11.0,2,1.4673912997159797,0.6381583860789354
ELEMENTS-RF,11.0,3,1.4699130190304694,0.6206230248993431
ELEMENTS-RF,11.0,4,1.3191262579166414,0.6537319175384643
ELEMENTS-RF,11.0,5,1.4555137360288295,0.6553017633652075
ELEMENTS-RF,11.0,6,1.3741497953721382,0.664457720040967
ELEMENTS-RF,11.0,7,1.4430352923926535,0.6769012852840017
ELEMENTS-RF,11.0,8,1.3799677575326457,0.6625183401728622
ELEMENTS-RF,11.0,9,1.3832662969896694,0.5977614774178741
ELEMENTS-RF,11.0,Test,1.381449856949054,0.8117490072400153
ELEMENTS-RF,11.5,0,1.6386923503259474,0.596200383629824
ELEMENTS-RF,11.5,1,1.404989187588595,0.6572517030988809
ELEMENTS-RF,11.5,2,1.4604045513018735,0.6425552838939568
ELEMENTS-RF,11.5,3,1.4762384331902336,0.6163359760578614
ELEMENTS-RF,11.5,4,1.3198433109610408,0.65325546558607
ELEMENTS-RF,11.5,5,1.4602393073888398,0.6524641143016772
ELEMENTS-RF,11.5,6,1.3772895298192305,0.6625322485970752
ELEMENTS-RF,11.5,7,1.4409426521420443,0.6780601917438959
ELEMENTS-RF,11.5,8,1.3821018784132917,0.6612063375116787
ELEMENTS-RF,11.5,9,1.3840888873109305,0.5971215847859731
ELEMENTS-RF,11.5,Test,1.3858277880648202,0.8119853731494245
ELEMENTS-RF,12.0,0,1.657307797820348,0.5837188810349939
ELEMENTS-RF,12.0,1,1.4191191398472711,0.6484575630999826
ELEMENTS-RF,12.0,2,1.4537636138697425,0.6466875833155805
ELEMENTS-RF,12.0,3,1.472974797101693,0.6185539138781547
ELEMENTS-RF,12.0,4,1.3142458477899477,0.6569587260304385
ELEMENTS-RF,12.0,5,1.4551915627463516,0.6554944431734029
ELEMENTS-RF,12.0,6,1.3760376582234335,0.6633011674549905
ELEMENTS-RF,12.0,7,1.4363309049887512,0.6806013060244672
ELEMENTS-RF,12.0,8,1.3823148231850044,0.6610751702935029
ELEMENTS-RF,12.0,9,1.3793385047321824,0.6008022934171043
ELEMENTS-RF,12.0,Test,1.3748505254822967,0.8153834310755816
ELEMENTS-RF,12.5,0,1.643382288925882,0.5930937876200415
ELEMENTS-RF,12.5,1,1.4040872915330909,0.6578060645659035
ELEMENTS-RF,12.5,2,1.4582980488331383,0.6438709613927278
ELEMENTS-RF,12.5,3,1.4715646413446857,0.6195082727216572
ELEMENTS-RF,12.5,4,1.3177201257889508,0.6546644768482719
ELEMENTS-RF,12.5,5,1.4542943166658011,0.65603052968723
ELEMENTS-RF,12.5,6,1.3811587779484606,0.6601455959519211
ELEMENTS-RF,12.5,7,1.4319221808106868,0.6830141392755542
ELEMENTS-RF,12.5,8,1.379239369349752,0.6629650768796257
ELEMENTS-RF,12.5,9,1.3878882323738029,0.5941521703084289
ELEMENTS-RF,12.5,Test,1.3775427944028555,0.8148370381454549
ELEMENTS-RF,13.0,0,1.6469096276123212,0.5907406404677501
ELEMENTS-RF,13.0,1,1.4189053206627849,0.6485921875629643
ELEMENTS-RF,13.0,2,1.4424463901268942,0.6536266991979882
ELEMENTS-RF,13.0,3,1.4766094721038012,0.6160830044036283
ELEMENTS-RF,13.0,4,1.3296847659277051,0.6466543176884364
ELEMENTS-RF,13.0,5,1.4550224592163807,0.6555955379522095
ELEMENTS-RF,13.0,6,1.3760739206447845,0.6632789168805129
ELEMENTS-RF,13.0,7,1.4338680071919454,0.6819511823075187
ELEMENTS-RF,13.0,8,1.3814141716477533,0.6616296275391355
ELEMENTS-RF,13.0,9,1.389816665743068,0.5926361623190334
ELEMENTS-RF,13.0,Test,1.378603265120427,0.8115651262925392
ELEMENTS-RF,13.5,0,1.6413769868843515,0.5944251652454039
ELEMENTS-RF,13.5,1,1.423279350508868,0.6458285799635897
ELEMENTS-RF,13.5,2,1.4456926302941724,0.6516493704201235
ELEMENTS-RF,13.5,3,1.480047761217722,0.6137308073218437
ELEMENTS-RF,13.5,4,1.330682376772013,0.6459786512486878
ELEMENTS-RF,13.5,5,1.4460308763625958,0.6609319034879455
ELEMENTS-RF,13.5,6,1.3743050504902503,0.6643627426819947
ELEMENTS-RF,13.5,7,1.4339935757260749,0.6818824807746209
ELEMENTS-RF,13.5,8,1.376359734924134,0.6647259785479471
ELEMENTS-RF,13.5,9,1.3829437842956058,0.5980120693282203
ELEMENTS-RF,13.5,Test,1.3807186446398632,0.8120391205266804
ELEMENTS-RF,14.0,0,1.6529137681479054,0.5867017662033688
ELEMENTS-RF,14.0,1,1.4321557578717337,0.6401571681984225
ELEMENTS-RF,14.0,2,1.452594333019226,0.6474104917114225
ELEMENTS-RF,14.0,3,1.4815633141342248,0.6126893786230446
ELEMENTS-RF,14.0,4,1.3477630846292914,0.6342183975528375
ELEMENTS-RF,14.0,5,1.4641440308587654,0.6501030485543934
ELEMENTS-RF,14.0,6,1.3874581678641351,0.6562269646200826
ELEMENTS-RF,14.0,7,1.4432412466802418,0.6767870293093748
ELEMENTS-RF,14.0,8,1.3721398646134824,0.6672914289577743
ELEMENTS-RF,14.0,9,1.3793140751631459,0.6008211311417729
ELEMENTS-RF,14.0,Test,1.3916462609073996,0.8078653085038754
ELEMENTS-RF,14.5,0,1.6532602217010268,0.5864674142707645
ELEMENTS-RF,14.5,1,1.4377008475869577,0.6365705238710757
ELEMENTS-RF,14.5,2,1.4544177712325266,0.6462825434642948
ELEMENTS-RF,14.5,3,1.4917754792942721,0.6055971539493161
ELEMENTS-RF,14.5,4,1.3495167102258965,0.6329900545562572
ELEMENTS-RF,14.5,5,1.4566473804339743,0.6546229826048179
ELEMENTS-RF,14.5,6,1.383436591264627,0.6587333946172704
ELEMENTS-RF,14.5,7,1.4544927347196537,0.6704905145179829
ELEMENTS-RF,14.5,8,1.3761558891699754,0.6648503145625649
ELEMENTS-RF,14.5,9,1.3747983369475054,0.6042874479832271
ELEMENTS-RF,14.5,Test,1.419938638065843,0.7954662535414457
ELEMENTS-RF,15.0,0,1.6559678939912743,0.5846309270939171
ELEMENTS-RF,15.0,1,1.4233532813522942,0.6457816939392351
ELEMENTS-RF,15.0,2,1.4521225403716742,0.6477017847310911
ELEMENTS-RF,15.0,3,1.4925573863348762,0.6050486813013776
ELEMENTS-RF,15.0,4,1.3554482885459522,0.6288055141960878
ELEMENTS-RF,15.0,5,1.448389669882806,0.6595393681526341
ELEMENTS-RF,15.0,6,1.3944927102844813,0.6518018976572627
ELEMENTS-RF,15.0,7,1.4580204913818808,0.66849396628737
ELEMENTS-RF,15.0,8,1.37924250482273,0.6629631549746031
ELEMENTS-RF,15.0,9,1.3825333225310403,0.5983307613121767
ELEMENTS-RF,15.0,Test,1.4251744083378193,0.7941494518934635
ECIF-RF,4.0,0,1.681648468056949,0.5667629374200395
ECIF-RF,4.0,1,1.4404775294044472,0.6347616737141195
ECIF-RF,4.0,2,1.4465782124012438,0.6511081343517486
ECIF-RF,4.0,3,1.4435112215970327,0.6380133083542033
ECIF-RF,4.0,4,1.3040476592539056,0.6636127489608807
ECIF-RF,4.0,5,1.5127570747589043,0.6194010433997948
ECIF-RF,4.0,6,1.455926842664482,0.6107804806668915
ECIF-RF,4.0,7,1.4772595048623771,0.6574122159746884
ECIF-RF,4.0,8,1.4051600899192718,0.6467287580654252
ECIF-RF,4.0,9,1.3735188747525875,0.605263906997707
ECIF-RF,4.0,Test,1.5100206774910487,0.7749780390944805
ECIF-RF,4.5,0,1.6218516913024594,0.607152913877149
ECIF-RF,4.5,1,1.3945263430608803,0.6636326579279733
ECIF-RF,4.5,2,1.3895062739663424,0.6844703507541909
ECIF-RF,4.5,3,1.399887119117301,0.6650997414262562
ECIF-RF,4.5,4,1.2640728719352297,0.6885967744493157
ECIF-RF,4.5,5,1.4627416899228238,0.6509527123052508
ECIF-RF,4.5,6,1.4116783378885058,0.6407667593752877
ECIF-RF,4.5,7,1.42872739222776,0.6847526746999181
ECIF-RF,4.5,8,1.3792652656390212,0.6629492033118651
ECIF-RF,4.5,9,1.3395476735612584,0.6303182906485923
ECIF-RF,4.5,Test,1.428137226137355,0.8050233510205225
ECIF-RF,5.0,0,1.5842407838622503,0.6305378488744697
ECIF-RF,5.0,1,1.3957663794125772,0.662882090150759
ECIF-RF,5.0,2,1.3873086731158162,0.6856963913566534
ECIF-RF,5.0,3,1.3928571756763566,0.6692864349566099
ECIF-RF,5.0,4,1.2536057922094468,0.6948652714495878
ECIF-RF,5.0,5,1.4433673981867494,0.6624980745902259
ECIF-RF,5.0,6,1.4010951950974493,0.6476005487690947
ECIF-RF,5.0,7,1.413265183481147,0.6930511044527581
ECIF-RF,5.0,8,1.3652143329773838,0.6714635965198207
ECIF-RF,5.0,9,1.3416702811173782,0.6288001246353058
ECIF-RF,5.0,Test,1.429728406015289,0.7956542072406253
ECIF-RF,5.5,0,1.5767093061721602,0.6350529034054626
ECIF-RF,5.5,1,1.379242042719225,0.67276115156689
ECIF-RF,5.5,2,1.379996167764977,0.6897464673166437
ECIF-RF,5.5,3,1.3827069277185449,0.6752488938358935
ECIF-RF,5.5,4,1.2491517883622476,0.6974999101001008
ECIF-RF,5.5,5,1.421003591138758,0.6753935597979043
ECIF-RF,5.5,6,1.3939869643393212,0.6521217868608931
ECIF-RF,5.5,7,1.3911167027392055,0.7046140050821397
ECIF-RF,5.5,8,1.3469135753149653,0.6822661397176034
ECIF-RF,5.5,9,1.3343950499475163,0.6339785804548715
ECIF-RF,5.5,Test,1.3992250493690268,0.8115427259888819
ECIF-RF,6.0,0,1.5673677702176323,0.6405793305502306
ECIF-RF,6.0,1,1.3677385578599348,0.6794854493006289
ECIF-RF,6.0,2,1.3776405154345899,0.6910415686408394
ECIF-RF,6.0,3,1.3734977423735992,0.680576090705136
ECIF-RF,6.0,4,1.2375636525697251,0.7042649341182298
ECIF-RF,6.0,5,1.4176952590715601,0.6772634854535473
ECIF-RF,6.0,6,1.3852528441587444,0.6576035066837849
ECIF-RF,6.0,7,1.3753342868455305,0.7126296921206682
ECIF-RF,6.0,8,1.334199896149757,0.6895869236249633
ECIF-RF,6.0,9,1.32402746215442,0.6412379982733518
ECIF-RF,6.0,Test,1.3904140241898673,0.8150015235129382
ECIF-RF,6.5,0,1.551811913401082,0.6496062714608496
ECIF-RF,6.5,1,1.3581626496142656,0.6849902562870651
ECIF-RF,6.5,2,1.3640624667237256,0.6984171226701643
ECIF-RF,6.5,3,1.370477992600917,0.6823061563841755
ECIF-RF,6.5,4,1.2373202689588607,0.7044056494952201
ECIF-RF,6.5,5,1.410822542751728,0.6811178187054461
ECIF-RF,6.5,6,1.3802822157504728,0.6606876247805888
ECIF-RF,6.5,7,1.3773931474586452,0.7115943099586994
ECIF-RF,6.5,8,1.3257040499903667,0.69439775410722
ECIF-RF,6.5,9,1.3346660022877583,0.6337869800244805
ECIF-RF,6.5,Test,1.387974246902795,0.8122271610512101
ECIF-RF,7.0,0,1.5407912523331115,0.6558727047441086
ECIF-RF,7.0,1,1.3517364727041687,0.6886382520179719
ECIF-RF,7.0,2,1.3729070565548367,0.6936299813403837
ECIF-RF,7.0,3,1.375034937935478,0.6796922476803727
ECIF-RF,7.0,4,1.234808773017798,0.7058544521658588
ECIF-RF,7.0,5,1.3972899202312252,0.6885900813196661
ECIF-RF,7.0,6,1.3786111541243695,0.6617187568861287
ECIF-RF,7.0,7,1.3796754384117151,0.7104429889929406
ECIF-RF,7.0,8,1.3212637495260413,0.6968867478916957
ECIF-RF,7.0,9,1.3221134469404812,0.6425630859957829
ECIF-RF,7.0,Test,1.3651972011814577,0.8236446673745192
ECIF-RF,7.5,0,1.5360839105046962,0.6585176683636373
ECIF-RF,7.5,1,1.3491047360620096,0.6901216942392174
ECIF-RF,7.5,2,1.3592620821327543,0.7009887868284862
ECIF-RF,7.5,3,1.3813581997192514,0.6760339416095851
ECIF-RF,7.5,4,1.2337565100716128,0.7064597127874833
ECIF-RF,7.5,5,1.3842719496118343,0.6956355315797222
ECIF-RF,7.5,6,1.3709562125109478,0.6664060189207542
ECIF-RF,7.5,7,1.3735193906669334,0.7135398590917983
ECIF-RF,7.5,8,1.3227676245281277,0.6960456877814799
ECIF-RF,7.5,9,1.3209771600324696,0.6433475504711162
ECIF-RF,7.5,Test,1.377364845939839,0.8176470107870654
ECIF-RF,8.0,0,1.5258788827901604,0.6641880114825961
ECIF-RF,8.0,1,1.3423977126005795,0.6938749433051209
ECIF-RF,8.0,2,1.37143706485342,0.6944300508562377
ECIF-RF,8.0,3,1.374646704625771,0.6799156724012698
ECIF-RF,8.0,4,1.2332030157884288,0.7067776672229641
ECIF-RF,8.0,5,1.3788752510897997,0.6985162826619089
ECIF-RF,8.0,6,1.3628368951482062,0.6713136500514382
ECIF-RF,8.0,7,1.383347178408187,0.708582809332195
ECIF-RF,8.0,8,1.3296690054125648,0.6921605559260422
ECIF-RF,8.0,9,1.3013102028110557,0.6566720701893198
ECIF-RF,8.0,Test,1.3743043284426275,0.8160269491605308
ECIF-RF,8.5,0,1.5231491771432832,0.6656901978953659
ECIF-RF,8.5,1,1.3499169566072995,0.6896645151465501
ECIF-RF,8.5,2,1.3765858192867984,0.6916199225036946
ECIF-RF,8.5,3,1.3723238996253797,0.6812495795860062
ECIF-RF,8.5,4,1.2312073994495625,0.7079216797324923
ECIF-RF,8.5,5,1.3773501973105449,0.6993261712761855
ECIF-RF,8.5,6,1.3467342310057242,0.6808573884124364
ECIF-RF,8.5,7,1.3831186420291648,0.7086988775451449
ECIF-RF,8.5,8,1.3172884868816586,0.699100499123805
ECIF-RF,8.5,9,1.305176146739126,0.6540899814617791
ECIF-RF,8.5,Test,1.3569291590646877,0.8248717687487304
ECIF-RF,9.0,0,1.5176399927735853,0.6687035375180221
ECIF-RF,9.0,1,1.3497030652196151,0.6897849654653879
ECIF-RF,9.0,2,1.3811225129181928,0.6891255766607998
ECIF-RF,9.0,3,1.3659542841470882,0.6848825993635179
ECIF-RF,9.0,4,1.240087473992334,0.7028024582196786
ECIF-RF,9.0,5,1.387595705397285,0.6938497379364291
ECIF-RF,9.0,6,1.3468383642526651,0.6807964623318757
ECIF-RF,9.0,7,1.3820265186245542,0.7092530143235809
ECIF-RF,9.0,8,1.3106747373991559,0.7027534429963829
ECIF-RF,9.0,9,1.3008378612849572,0.6569863306199135
ECIF-RF,9.0,Test,1.3567322910131892,0.8219590434427095
ECIF-RF,9.5,0,1.5278554381217753,0.663096484023657
ECIF-RF,9.5,1,1.3467616777937228,0.6914373123219625
ECIF-RF,9.5,2,1.3721675514673073,0.6940326927495946
ECIF-RF,9.5,3,1.3606837965608412,0.6878615163518411
ECIF-RF,9.5,4,1.2361570874108712,0.7050773882876361
ECIF-RF,9.5,5,1.3716804631252748,0.7023211046635018
ECIF-RF,9.5,6,1.3412097436295638,0.6840751426967122
ECIF-RF,9.5,7,1.379795079976328,0.7103825306950845
ECIF-RF,9.5,8,1.314651475724957,0.7005614766109842
ECIF-RF,9.5,9,1.3081500496900949,0.6520914963904584
ECIF-RF,9.5,Test,1.3658224233944245,0.8166454966924497
ECIF-RF,10.0,0,1.5365604881552832,0.6582507398086935
ECIF-RF,10.0,1,1.344189181989672,0.6928762559550053
ECIF-RF,10.0,2,1.377279613434529,0.6912395774164709
ECIF-RF,10.0,3,1.3599123722963662,0.6882954857385283
ECIF-RF,10.0,4,1.234622686744799,0.7059615641464423
ECIF-RF,10.0,5,1.3708005672532877,0.7027836452357089
ECIF-RF,10.0,6,1.3422413578445516,0.6834764290536665
ECIF-RF,10.0,7,1.3699482799894385,0.7153238850238234
ECIF-RF,10.0,8,1.3111305456727524,0.7025028864058089
ECIF-RF,10.0,9,1.31024553033743,0.6506768896665311
ECIF-RF,10.0,Test,1.356249433394077,0.8189672905538474
ECIF-RF,10.5,0,1.5414432344691626,0.6555048875106746
ECIF-RF,10.5,1,1.3454042775348352,0.6921972993047488
ECIF-RF,10.5,2,1.3868814642086726,0.6859342516034515
ECIF-RF,10.5,3,1.3584055365891765,0.6891416682739565
ECIF-RF,10.5,4,1.2347633248640189,0.7058806152894403
ECIF-RF,10.5,5,1.3645244331195447,0.7060655069642457
ECIF-RF,10.5,6,1.3354428526553972,0.6874040093774375
ECIF-RF,10.5,7,1.3688526968698058,0.7158693870182002
ECIF-RF,10.5,8,1.3141478204028942,0.7008398367724147
ECIF-RF,10.5,9,1.3091577318043708,0.6514119013596317
ECIF-RF,10.5,Test,1.3582470756563856,0.8201970218718182
ECIF-RF,11.0,0,1.5450484654495336,0.6534644316681476
ECIF-RF,11.0,1,1.3364134941559629,0.6971909824470425
ECIF-RF,11.0,2,1.3815405067219524,0.688894888868679
ECIF-RF,11.0,3,1.3574192068336366,0.6896944846697664
ECIF-RF,11.0,4,1.2286961321039922,0.7093560487728923
ECIF-RF,11.0,5,1.360209892393509,0.7083041221025846
