PDB,SET,pK
1drv,Train,6.54
1dub,Train,5.8
1dud,Train,4.82
1duv,Train,11.8
1dva,Train,8.07
1dwc,Train,7.41
1dwd,Train,8.18
1dxp,Train,7.57
1dy4,Train,4.36
1dzk,Train,6.1
1e03,Train,9.4
1e1v,Train,4.92
1e1x,Train,5.89
1e2k,Train,4.94
1e2l,Train,4.29
1e3g,Train,9.0
1e3v,Train,4.34
1e4h,Train,8.41
1e5a,Train,7.64
1e5j,Train,4.0
1e66,Test,9.89
1e6q,Train,3.15
1e6s,Train,3.22
1e72,Train,3.22
1e8h,Train,5.68
1eb1,Train,10.43
1eb2,Train,6.01
1ebg,Train,10.82
1ebw,Train,9.05
1eby,Test,9.7
1ebz,Train,9.4
1ec0,Train,8.49
1ec1,Train,8.92
1ec2,Train,10.0
1ec3,Train,9.04
1ec9,Train,3.1
1ecq,Train,3.0
1ecv,Train,4.85
1eed,Train,4.79
1efy,Train,8.22
1egh,Train,5.7
1eix,Train,11.06
1ej4,Train,7.3
1ejn,Train,5.62
1ek2,Train,8.2
1ela,Train,6.36
1elb,Train,7.15
1elc,Train,6.66
1eld,Train,6.7
1ele,Train,6.85
1elr,Train,4.96
1els,Train,10.82
1ent,Train,6.96
1enu,Train,5.08
1eoc,Train,6.05
1epo,Train,7.96
1epp,Train,7.16
1erb,Train,8.1
1ets,Train,8.22
1ett,Train,5.89
1etz,Train,7.24
1evh,Train,3.22
1ew8,Train,2.26
1ew9,Train,3.22
1ewj,Train,7.49
1ex8,Train,6.33
1ez9,Train,5.1
1ezq,Train,9.05
1f0r,Train,7.66
1f0s,Train,7.74
1f0t,Train,6.0
1f0u,Train,7.16
1f28,Train,7.8
1f3e,Train,6.7
1f47,Train,4.67
1f4e,Train,2.96
1f4f,Train,4.62
1f4g,Train,6.48
1f4x,Train,5.59
1f4y,Train,6.08
1f57,Train,5.64
1f5k,Train,3.74
1f5l,Train,5.28
1f73,Train,2.39
1f74,Train,3.05
1f8a,Train,5.0
1f8b,Train,5.4
1f8c,Train,7.4
1f8d,Train,3.4
1f8e,Train,4.82
1f90,Train,7.92
1f92,Train,6.19
1fao,Train,7.37
1fax,Train,7.39
1fbm,Train,6.22
1fch,Train,7.15
1fcx,Train,7.19
1fcy,Train,8.52
1fcz,Train,9.22
1fd0,Train,8.4
1fdq,Train,7.27
1fe3,Train,7.33
1fh7,Train,5.24
1fh8,Train,6.89
1fh9,Train,6.43
1fhd,Train,6.82
1fig,Train,6.22
1fiv,Train,6.59
1fj4,Train,4.59
1fjs,Train,9.96
1fkb,Train,9.7
1fkf,Train,9.4
1fkg,Train,8.0
1fkh,Train,8.15
1fki,Train,7.0
1fkn,Train,8.8
1fkw,Train,5.05
1fl3,Train,6.8
1fl6,Train,7.43
1flm,Train,9.37
1flr,Train,10.0
1fm9,Train,9.0
1fmb,Train,10.0
1fo0,Train,5.59
1fpc,Train,7.0
1fpp,Train,8.0
1fpy,Train,6.0
1fq4,Train,6.4
1fq5,Train,8.4
1fq6,Train,7.86
1fq7,Train,5.43
1fq8,Train,6.03
1ft7,Train,5.18
1ftm,Train,7.61
1fv0,Train,5.93
1fw0,Train,5.43
1fwe,Train,5.6
1fwu,Train,3.7
1fwv,Train,3.72
1fzj,Train,8.1
1fzk,Train,8.4
1fzm,Train,7.7
1fzo,Train,7.89
1fzq,Train,7.62
1g1d,Train,9.44
1g2k,Test,7.96
1g2l,Train,7.24
1g2o,Train,10.55
1g30,Train,6.85
1g32,Train,6.11
1g35,Train,8.14
1g36,Train,7.17
1g3b,Train,5.74
1g3c,Train,5.8
1g3d,Train,5.55
1g3e,Train,5.38
1g45,Train,8.64
1g46,Train,8.8
1g48,Train,8.41
1g4j,Train,8.7
1g4o,Train,8.25
1g50,Train,6.28
1g52,Train,9.54
1g53,Train,9.04
1g54,Train,8.82
1g5f,Train,2.64
1g6r,Train,4.27
1g6s,Train,5.15
1g74,Train,6.52
1g7f,Train,5.47
1g7g,Train,6.6
1g7p,Train,7.05
1g7q,Train,6.06
1g7v,Train,6.4
1g85,Train,5.48
1g98,Train,5.7
1g9r,Train,5.7
1g9s,Train,3.61
1g9t,Train,3.28
1gaf,Train,8.0
1gag,Train,6.12
1gah,Train,12.0
1gai,Train,8.0
1gar,Train,10.0
1gca,Train,6.7
1gcz,Train,5.13
1gfy,Train,5.08
1gfz,Train,4.0
1ghv,Train,4.35
1ghw,Train,4.2
1ghy,Train,8.1
1ghz,Train,4.8
1gi1,Train,5.47
1gi4,Train,7.19
1gi6,Train,6.22
1gi7,Train,4.51
1gi8,Train,5.05
1gi9,Train,5.22
1gj4,Train,4.07
1gj6,Train,7.0
1gj7,Train,7.89
1gj8,Train,6.96
1gja,Train,5.42
1gjb,Train,6.35
1gjc,Train,6.35
1gjd,Train,5.22
1gni,Train,8.07
1gnj,Train,7.04
1gnm,Train,6.25
1gnn,Train,5.68
1gno,Train,7.7
1gny,Train,4.14
1gpk,Test,5.37
1gpn,Test,6.48
1gpy,Train,4.7
1gqs,Train,6.3
1grp,Train,3.72
1gt1,Train,6.0
1gt3,Train,6.46
1gt4,Train,6.52
1gt5,Train,6.1
1gu1,Train,4.52
1gu3,Train,4.32
1gui,Train,6.28
1gux,Train,6.96
1gvu,Train,9.0
1gvw,Train,6.96
1gvx,Train,7.22
1gwm,Train,4.1
1gwq,Train,7.12
1gwr,Train,6.6
1gwv,Train,2.57
1gww,Train,3.59
1gx0,Train,4.22
1gx4,Train,4.28
1gx8,Train,6.37
1gyx,Train,2.48
1gyy,Train,3.64
1gz3,Train,3.7
1gz4,Train,3.7
1gz9,Train,3.51
1gzc,Train,3.49
1h0a,Train,5.44
1h0r,Train,3.7
1h1d,Train,8.22
1h1h,Train,5.22
1h1p,Train,4.92
1h1s,Train,8.22
1h22,Test,9.1
1h23,Test,8.35
1h24,Train,6.3
1h25,Train,5.74
1h26,Train,5.54
1h27,Train,5.6
1h2k,Train,2.92
1h2t,Train,7.89
1h2u,Train,7.89
1h46,Train,3.57
1h4n,Train,4.92
1h4w,Train,4.66
1h5v,Train,3.93
1h60,Train,4.7
1h61,Train,4.89
1h62,Train,4.77
1h6h,Train,5.3
1h79,Train,4.89
1h7a,Train,4.72
1h8l,Train,7.47
1h8s,Train,5.81
1h9z,Train,5.42
1ha2,Train,5.54
1hbv,Train,6.37
1hdq,Train,5.82
1hdt,Train,7.76
1hee,Train,5.34
1heg,Train,7.74
1hfs,Train,8.7
1hge,Train,2.27
1hgi,Train,2.68
1hgt,Train,6.82
1hi3,Train,4.19
1hi4,Train,4.49
1hi5,Train,4.04
1hih,Train,8.05
1hii,Train,7.28
1hiy,Train,3.08
1hk1,Train,5.64
1hk2,Train,6.77
1hk3,Train,6.59
1hk4,Train,5.31
1hk5,Train,5.24
1hlf,Train,5.64
1hlk,Train,5.0
1hmr,Train,6.55
1hms,Train,6.37
1hmt,Train,5.79
1hn2,Train,6.0
1hn4,Train,3.82
1hnn,Train,6.24
1hos,Train,8.55
1hp0,Train,6.7
1hp5,Train,6.55
1hpo,Train,9.22
1hps,Train,9.22
1hpv,Train,9.22
1hpx,Train,11.26
1hqf,Train,5.0
1hqg,Train,3.0
1hsg,Train,9.42
1hsh,Train,9.42
1hsl,Train,7.19
1hti,Train,5.13
1hv5,Train,8.3
1hvh,Train,7.96
1hvi,Train,10.92
1hvj,Train,11.4
1hvk,Train,10.96
1hvl,Train,9.95
1hvr,Train,9.51
1hvs,Train,10.3
1hwr,Train,8.33
1hxb,Train,9.92
1hxw,Train,10.82
1hyo,Train,4.07
1i00,Train,6.34
1i1e,Train,5.03
1i2s,Train,3.31
1i37,Train,9.57
1i3z,Train,6.88
1i5r,Train,8.52
1i7z,Train,6.4
1i80,Train,6.41
1i8i,Train,7.66
1i9l,Train,8.48
1i9m,Train,8.48
1i9n,Train,8.66
1i9o,Train,8.42
1i9p,Train,8.41
1i9q,Train,8.41
1ibg,Train,8.55
1icj,Train,2.22
1ie9,Train,10.19
1if7,Train,10.52
1if8,Train,9.64
1igb,Train,6.4
1igj,Train,10.0
1iht,Train,8.46
1ihy,Train,3.74
1ii5,Train,6.62
1iih,Train,2.89
1iiq,Train,7.48
1ik4,Train,7.41
1ikt,Train,3.4
1ilh,Train,7.39
1imx,Train,3.52
1ind,Train,10.05
1iq1,Train,7.46
1is0,Train,7.0
1it6,Train,8.39
1iup,Train,2.54
1ivp,Train,7.52
1iwq,Train,8.06
1iy7,Train,6.19
1izh,Train,7.7
1izi,Train,6.59
1j01,Train,6.47
1j07,Train,7.68
1j14,Train,4.49
1j15,Train,3.84
1j16,Train,3.84
1j17,Train,5.22
1j19,Train,7.79
1j36,Train,7.74
1j37,Train,8.96
1j4r,Train,7.72
1j7z,Train,7.7
1j80,Train,6.52
1j81,Train,7.1
1jak,Train,5.57
1jao,Train,5.92
1jaq,Train,4.48
1jcx,Train,5.15
1jd0,Train,8.24
1jd5,Train,6.62
1jd6,Train,7.39
1jet,Train,7.25
1jeu,Train,6.82
1jev,Train,6.89
1jfh,Train,2.05
1jgl,Train,8.7
1jh1,Train,4.39
1jif,Train,6.2
1jjk,Train,11.06
1jlr,Train,3.33
1jmf,Train,5.77
1jmg,Train,6.07
1jmi,Train,6.06
1jn2,Train,4.09
1jn4,Train,4.95
1joc,Train,4.62
1jp5,Train,9.22
1jpl,Train,5.0
1jq8,Train,6.0
1jq9,Train,8.45
1jqd,Train,5.16
1jqe,Train,6.44
1jqy,Train,4.92
1jr1,Train,8.22
1jsv,Train,5.7
1jt1,Train,3.4
1jtq,Train,8.07
1juj,Train,6.96
1juq,Train,4.25
1jut,Train,7.32
1juy,Train,7.66
1jvu,Train,5.15
1jwm,Train,3.57
1jws,Train,4.85
1jwt,Train,7.85
1jwu,Train,5.34
1jyc,Train,4.34
1jyq,Train,8.7
1jys,Train,3.52
1jzs,Train,6.6
1k03,Train,6.0
1k06,Train,5.34
1k08,Train,5.34
1k1i,Test,6.58
1k1j,Train,7.55
1k1l,Train,6.9
1k1m,Train,7.4
1k1n,Train,6.82
1k1o,Train,6.17
1k1y,Train,3.22
1k21,Train,8.38
1k22,Train,8.4
1k27,Train,9.0
1k4g,Train,5.85
1k4h,Train,5.11
1k6c,Train,7.48
1k6p,Train,7.36
1k6t,Train,7.62
1k6v,Train,6.92
1k9s,Train,6.52
1kav,Train,5.82
1kc7,Train,5.52
1kdk,Train,9.05
1kel,Train,7.28
1kf0,Train,2.55
1kf6,Train,6.7
1kjr,Train,6.06
1kl3,Train,5.86
1kl5,Train,5.99
1kll,Train,5.2
1km3,Train,4.91
1kmy,Train,5.1
1kna,Train,5.15
1kne,Train,5.6
1koj,Train,6.7
1kpm,Train,5.8
1kqb,Train,4.0
1kr3,Train,5.0
1ksn,Train,9.4
1kti,Train,3.43
1kug,Train,3.8
1kui,Train,3.77
1kuk,Train,3.91
1kv1,Train,5.94
1kv2,Train,10.0
1kv5,Train,4.22
1kyv,Train,5.92
1kzk,Train,10.39
1kzn,Train,8.92
1l0a,Train,4.62
1l2s,Train,4.59
1l5q,Train,3.97
1l5r,Train,4.77
1l5s,Train,3.26
1l6m,Train,8.1
1l7x,Train,4.04
1l83,Train,3.4
1l8g,Train,6.22
1laf,Train,7.85
1lag,Train,6.3
1lah,Train,7.52
1lan,Train,7.22
1lb6,Train,4.08
1lbf,Train,7.85
1lbk,Train,3.18
1lcj,Train,9.0
1lcp,Train,6.64
1lee,Train,7.74
1leg,Train,7.95
1lek,Train,8.89
1lf2,Train,7.52
1lf3,Train,7.0
1lf8,Train,5.46
1lf9,Train,12.0
1lgt,Train,6.1
1lgw,Train,4.0
1lhu,Train,8.83
1lhv,Train,8.91
1lhw,Train,9.08
1li2,Train,4.04
1li3,Train,4.25
1li6,Train,3.8
1lke,Train,7.52
1lkk,Train,6.85
1lkl,Train,5.81
1lkx,Train,5.15
1ll4,Train,7.22
1lnm,Train,8.7
1lol,Train,6.39
1loq,Train,3.7
1lor,Train,11.06
1los,Train,7.19
1lox,Train,5.52
1lpg,Test,7.09
1lpk,Train,7.55
1lpz,Train,7.6
1lq2,Train,8.77
1lqd,Train,8.05
1lqe,Train,5.82
1lrh,Train,6.82
1lrt,Train,5.64
1lst,Train,7.85
1lv8,Train,5.46
1lvu,Train,5.32
1lyb,Train,11.42
1lyx,Train,4.54
1lzo,Train,4.54
1lzq,Train,8.39
1m0b,Train,8.82
1m0n,Train,2.22
1m0o,Train,2.31
1m0q,Train,3.89
1m13,Train,7.57
1m1b,Train,4.66
1m2p,Train,6.11
1m2q,Train,6.1
1m2r,Train,6.46
1m2x,Train,4.15
1m48,Train,5.09
1m4h,Train,9.52
1m5w,Train,4.27
1m6p,Train,5.1
1m74,Train,7.0
1m7d,Train,6.23
1m7i,Train,5.4
1m7y,Train,10.96
1m83,Train,3.4
1m9n,Train,6.92
1mai,Train,6.68
1mau,Train,11.3
1mcz,Train,3.0
1mdl,Train,3.09
1me7,Train,7.19
1me8,Train,7.19
1mes,Train,7.7
1met,Train,9.4
1meu,Train,6.1
1mfa,Train,5.04
1mfd,Train,5.31
1mfg,Train,4.3
1mfi,Train,5.59
1mh5,Train,9.21
1mhw,Train,7.35
1mj7,Train,8.35
1mjj,Train,8.74
1ml1,Train,4.28
1mmp,Train,6.07
1mmq,Train,7.52
1mmr,Train,5.4
1mn9,Train,4.62
1moq,Train,3.46
1mpa,Train,8.04
1mq5,Train,9.0
1mq6,Test,11.15
1mrn,Train,4.52
1mrs,Train,3.96
1mrw,Train,9.7
1mrx,Train,7.26
1msm,Train,10.48
1msn,Train,9.09
1mtr,Train,8.4
1mu6,Train,8.38
1mu8,Train,9.0
1mue,Train,8.64
1mui,Train,11.89
1my2,Train,7.77
1my4,Train,6.98
1n0s,Train,7.45
1n1m,Train,5.7
1n1t,Train,3.85
1n1v,Train,3.85
1n2v,Train,4.08
1n3i,Train,8.89
1n3w,Train,6.96
1n3z,Train,4.2
1n46,Train,10.52
1n4h,Train,6.55
1n4k,Train,10.05
1n4m,Train,6.72
1n51,Train,4.85
1n5r,Train,5.66
1n5z,Train,4.36
1n7i,Train,6.59
1n7j,Train,6.43
1n7m,Train,5.71
1n8u,Train,6.03
1n8v,Train,6.03
1nax,Train,6.43
1nc1,Test,6.12
1nc3,Test,5.0
1nde,Train,7.82
1ndv,Train,5.92
1ndw,Train,5.23
1ndy,Train,6.17
1ndz,Train,8.11
1nf8,Train,7.82
1nfu,Train,7.74
1nfw,Train,8.96
1nfx,Train,8.52
1nfy,Train,8.89
1ngw,Train,7.68
1nh0,Train,9.74
1nhg,Train,7.3
1nhu,Train,5.66
1nhv,Train,5.66
1nhw,Train,4.84
1nhz,Train,6.08
1nj1,Train,7.6
1nj5,Train,7.3
1nja,Train,6.31
1njb,Train,5.8
1njc,Train,5.55
1njd,Train,5.57
1nje,Train,3.8
1njf,Train,6.21
1njj,Train,2.1
1njs,Train,7.82
1nki,Train,6.7
1nl9,Train,5.96
1nli,Train,3.59
1nlt,Train,4.92
1nm6,Train,10.05
1nms,Train,6.7
1nnb,Train,5.0
1nnu,Train,6.82
1nny,Train,7.66
1no6,Train,4.41
1noi,Train,3.15
1noj,Train,3.15
1nok,Train,3.15
1nox,Train,7.05
1np0,Train,3.57
1nq7,Train,6.8
1nt1,Train,8.89
1ntk,Train,10.49
1ntv,Train,5.82
1nu3,Train,4.0
1nvq,Test,8.25
1nvr,Train,8.11
1nvs,Train,7.82
1nw4,Train,9.07
1nw5,Train,5.21
1nw7,Train,5.09
1nwl,Train,2.39
1ny2,Train,2.76
1nz7,Train,7.12
1nzl,Train,7.15
1nzv,Train,6.4
1o0f,Train,5.3
1o0h,Test,5.92
1o0m,Train,5.15
1o0n,Train,4.09
1o0o,Train,5.1
1o1s,Train,7.31
1o2g,Train,6.12
1o2h,Train,7.17
1o2j,Train,6.92
1o2k,Train,6.92
1o2n,Train,6.09
1o2o,Train,6.36
1o2p,Train,4.85
1o2q,Train,7.68
1o2r,Train,5.21
1o2s,Train,5.47
1o2u,Train,5.85
1o2v,Train,5.85
1o2w,Train,5.85
1o2x,Train,5.85
1o2y,Train,5.85
1o2z,Train,6.11
1o30,Train,6.77
1o32,Train,5.74
1o33,Train,5.74
1o34,Train,5.74
1o35,Train,5.0
1o36,Train,5.96
1o37,Train,6.82
1o38,Train,6.82
1o39,Train,7.13
1o3b,Train,7.13
1o3c,Train,7.13
1o3d,Train,7.13
1o3e,Train,7.96
1o3f,Test,7.96
1o3g,Train,7.96
1o3h,Train,7.3
1o3i,Train,7.3
1o3j,Train,6.77
1o3k,Train,6.77
1o3l,Train,6.54
1o3p,Train,6.66
1o5a,Train,6.42
1o5b,Test,5.77
1o5c,Train,5.22
1o5e,Train,5.74
1o5f,Train,6.07
1o5g,Train,4.96
1o5r,Train,8.12
1o6i,Train,3.19
1o7o,Train,4.49
1o86,Train,9.57
1o8b,Train,2.68
1o9d,Train,5.6
1o9e,Train,4.18
1o9k,Train,6.47
1oai,Train,5.0
1oar,Train,7.4
1oau,Train,7.7
1oay,Train,5.92
1oba,Train,2.44
1obx,Train,5.72
1ocn,Train,6.39
1ocq,Train,5.19
1od8,Train,5.1
1odi,Train,4.21
1odj,Train,4.1
1ody,Train,8.1
1oe7,Train,5.52
1oe8,Train,5.52
1oeb,Train,6.93
1ofz,Train,4.62
1ogd,Train,3.03
1ogg,Train,5.19
1ogx,Train,6.09
1ogz,Train,5.85
1oh4,Train,3.74
1ohr,Train,8.7
1oif,Train,7.72
1oim,Train,5.32
1oj5,Train,6.1
1ok7,Train,5.92
1okl,Train,6.03
1oko,Train,4.54
1ols,Train,5.82
1olu,Train,4.41
1olx,Train,4.33
1om1,Train,6.77
1om9,Train,4.15
1ony,Train,6.77
1onz,Train,5.1
1ork,Train,8.81
1os0,Train,6.03
1os5,Train,6.85
1osg,Train,7.52
1oss,Train,4.79
1osv,Train,3.48
1oth,Train,7.0
1ov3,Train,6.72
1ow4,Train,5.68
1ow6,Train,5.4
1ow7,Train,5.4
1ow8,Train,5.4
1owd,Train,8.2
1owe,Train,6.2
1owh,Test,7.4
1owi,Train,7.55
1owk,Train,7.63
1ox9,Train,5.21
1oxn,Train,5.68
1oxq,Train,6.3
1oxr,Train,5.19
1oy7,Train,5.36
1oyq,Train,6.96
1oyt,Test,7.24
1oz0,Train,7.7
1p17,Train,2.82
1p19,Train,4.11
1p1n,Test,6.8
1p1o,Train,5.76
1p1q,Test,4.89
1p28,Train,5.42
1p2g,Train,2.13
1p4r,Train,8.1
1p4u,Train,5.3
1p57,Train,4.4
1p6d,Train,2.94
1p6e,Train,2.92
1p93,Train,7.72
1pa9,Train,4.6
1pb8,Train,5.15
1pb9,Train,3.62
1pbk,Train,9.05
1pbq,Train,6.27
1pcg,Train,7.6
1pdq,Train,5.3
1pdz,Train,3.7
1pf7,Train,10.14
1pf8,Train,7.51
1pfu,Train,2.72
1pg2,Train,4.96
1pgp,Train,5.7
1ph0,Train,6.92
1phw,Train,3.3
1pkx,Train,6.92
1pl0,Train,8.22
1pme,Train,9.4
1pot,Train,5.49
1ppc,Train,6.16
1pph,Train,5.92
1ppi,Train,5.01
1ppk,Train,7.66
1ppl,Train,8.55
1ppm,Train,5.8
1pr1,Train,5.3
1pr5,Train,3.92
1pro,Train,11.3
1ps3,Test,2.28
1pu7,Train,3.1
1pu8,Train,3.1
1pvn,Train,9.82
1pwp,Train,6.3
1pwu,Train,5.68
1pwy,Train,4.05
1px4,Train,3.23
1pxh,Train,8.74
1pxm,Train,7.22
1pxn,Test,7.15
1pxo,Train,8.7
1pxp,Train,6.66
1py1,Train,4.4
1pye,Train,6.41
1pyg,Train,5.52
1pyn,Train,5.49
1pz5,Train,5.4
1pzi,Train,4.22
1pzo,Train,3.32
1pzp,Train,3.31
1q1g,Train,8.57
1q1m,Train,5.16
1q4k,Train,6.55
1q4l,Train,7.4
1q4w,Train,6.46
1q4x,Train,9.48
1q54,Train,5.85
1q5k,Train,7.42
1q63,Train,5.85
1q65,Train,5.46
1q66,Train,5.77
1q72,Train,6.85
1q7a,Train,7.19
1q84,Train,11.05
1q8t,Test,4.76
1q8u,Test,5.96
1q8w,Train,5.24
1q91,Train,4.15
1q95,Train,7.57
1q9d,Train,4.6
1qan,Train,4.48
1qaq,Train,4.74
1qaw,Train,5.12
1qb1,Train,6.77
1qb6,Train,6.06
1qb9,Train,7.44
1qbn,Train,5.85
1qbo,Train,7.74
1qbq,Train,8.3
1qbr,Train,10.57
1qbs,Train,9.47
1qbt,Train,10.62
1qbu,Train,10.24
1qbv,Train,5.39
1qca,Train,5.27
1qf0,Train,7.38
1qf1,Test,7.32
1qf2,Train,5.92
1qft,Train,8.77
1qhc,Train,7.57
1qi0,Train,2.35
1qin,Train,8.0
1qiw,Train,7.74
1qja,Train,6.38
1qjb,Train,6.38
1qji,Train,4.85
1qk3,Train,5.15
1qk4,Train,4.21
1qka,Train,5.92
1qkb,Train,7.35
1qkt,Test,9.04
1ql7,Train,5.0
1ql9,Train,5.35
1qm4,Train,4.3
1qm5,Train,5.82
